id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2022-04-04;43759.45120833
N;Norte;2022-04-05;5816.49604167
NE;Nordeste;2022-04-05;11725.86837500
S;Sul;2022-04-05;11989.10112500
SE;Sudeste/Centro-Oeste;2022-04-05;44731.40495833
N;Norte;2022-04-06;5816.09262500
NE;Nordeste;2022-04-06;11783.83891667
S;Sul;2022-04-06;12151.25758333
SE;Sudeste/Centro-Oeste;2022-04-06;44404.74733333
N;Norte;2022-04-07;5892.27862500
NE;Nordeste;2022-04-07;11686.53195833
S;Sul;2022-04-07;12512.48358333
SE;Sudeste/Centro-Oeste;2022-04-07;43959.80433333
N;Norte;2022-04-08;5865.08766667
NE;Nordeste;2022-04-08;11785.22279167
S;Sul;2022-04-08;12271.66291667
SE;Sudeste/Centro-Oeste;2022-04-08;44364.95366667
N;Norte;2022-04-09;5614.71366667
NE;Nordeste;2022-04-09;11120.33820833
S;Sul;2022-04-09;10395.10000000
SE;Sudeste/Centro-Oeste;2022-04-09;41608.52950000
N;Norte;2022-04-10;5438.20408333
NE;Nordeste;2022-04-10;10670.64545833
S;Sul;2022-04-10;9137.30708333
SE;Sudeste/Centro-Oeste;2022-04-10;37805.72804167
N;Norte;2022-04-11;6171.92891667
NE;Nordeste;2022-04-11;11930.04520833
S;Sul;2022-04-11;11983.96583333
SE;Sudeste/Centro-Oeste;2022-04-11;43530.27641667
N;Norte;2022-04-12;6202.90070833
NE;Nordeste;2022-04-12;12063.40475000
S;Sul;2022-04-12;12160.46825000
SE;Sudeste/Centro-Oeste;2022-04-12;44413.42408333
N;Norte;2022-04-13;6268.82491667
NE;Nordeste;2022-04-13;12243.62787500
S;Sul;2022-04-13;12080.64100000
SE;Sudeste/Centro-Oeste;2022-04-13;44572.39020833
N;Norte;2022-04-14;6105.78387500
NE;Nordeste;2022-04-14;12081.61279167
S;Sul;2022-04-14;11381.11270833
SE;Sudeste/Centro-Oeste;2022-04-14;42930.24675000
N;Norte;2022-04-15;5570.61637500
NE;Nordeste;2022-04-15;10712.05120833
S;Sul;2022-04-15;8310.66466667
SE;Sudeste/Centro-Oeste;2022-04-15;35111.23200000
N;Norte;2022-04-16;5708.62900000
NE;Nordeste;2022-04-16;11003.39687500
S;Sul;2022-04-16;8604.08054167
SE;Sudeste/Centro-Oeste;2022-04-16;34638.38662500
N;Norte;2022-04-17;5420.86262500
NE;Nordeste;2022-04-17;10367.25362500
S;Sul;2022-04-17;8044.32816667
SE;Sudeste/Centro-Oeste;2022-04-17;32664.44358333
N;Norte;2022-04-18;5999.08387500
NE;Nordeste;2022-04-18;11582.63729167
S;Sul;2022-04-18;11133.27500000
SE;Sudeste/Centro-Oeste;2022-04-18;38736.88058333
N;Norte;2022-04-19;5959.74245833
NE;Nordeste;2022-04-19;11452.77237500
S;Sul;2022-04-19;11832.27500000
SE;Sudeste/Centro-Oeste;2022-04-19;40307.31804167
N;Norte;2022-04-20;5896.41695833
NE;Nordeste;2022-04-20;11383.81391667
S;Sul;2022-04-20;11905.54341667
SE;Sudeste/Centro-Oeste;2022-04-20;40972.09225000
N;Norte;2022-04-21;5703.11983333
NE;Nordeste;2022-04-21;10871.76870833
S;Sul;2022-04-21;11325.16608333
SE;Sudeste/Centro-Oeste;2022-04-21;38783.82054167
N;Norte;2022-04-22;6008.05650000
NE;Nordeste;2022-04-22;11450.59154167
S;Sul;2022-04-22;11635.15216667
SE;Sudeste/Centro-Oeste;2022-04-22;40258.95254167
N;Norte;2022-04-23;5807.12350000
NE;Nordeste;2022-04-23;11119.17008333
S;Sul;2022-04-23;9745.99562500
SE;Sudeste/Centro-Oeste;2022-04-23;38778.68333333
N;Norte;2022-04-24;5524.59062500
NE;Nordeste;2022-04-24;10255.46266667
S;Sul;2022-04-24;8676.43583333
SE;Sudeste/Centro-Oeste;2022-04-24;36091.76129167
N;Norte;2022-04-25;6125.16654167
NE;Nordeste;2022-04-25;11320.25379167
S;Sul;2022-04-25;11917.18516667
SE;Sudeste/Centro-Oeste;2022-04-25;42159.53929167
N;Norte;2022-04-26;6163.63795833
NE;Nordeste;2022-04-26;11442.14833333
S;Sul;2022-04-26;12640.41333333
SE;Sudeste/Centro-Oeste;2022-04-26;43710.29862500
N;Norte;2022-04-27;6096.60891667
NE;Nordeste;2022-04-27;11577.02100000
S;Sul;2022-04-27;13018.60175000
SE;Sudeste/Centro-Oeste;2022-04-27;44083.13404167
N;Norte;2022-04-28;6081.13662500
NE;Nordeste;2022-04-28;11736.16908333
S;Sul;2022-04-28;13048.24545833
SE;Sudeste/Centro-Oeste;2022-04-28;44166.10237500
N;Norte;2022-04-29;6057.54450000
NE;Nordeste;2022-04-29;11463.21983333
S;Sul;2022-04-29;12261.40062500
SE;Sudeste/Centro-Oeste;2022-04-29;43800.09712500
N;Norte;2022-04-30;5774.41595833
NE;Nordeste;2022-04-30;10758.94600000
S;Sul;2022-04-30;10444.07595833
SE;Sudeste/Centro-Oeste;2022-04-30;39486.40554167
