id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
SE;Sudeste/Centro-Oeste;2024-04-07;40353.46470833
N;Norte;2024-04-08;7557.79983333
NE;Nordeste;2024-04-08;13375.40154167
S;Sul;2024-04-08;14285.81333333
SE;Sudeste/Centro-Oeste;2024-04-08;46739.43895833
N;Norte;2024-04-09;7575.77045833
NE;Nordeste;2024-04-09;13438.24275000
S;Sul;2024-04-09;15013.89670833
SE;Sudeste/Centro-Oeste;2024-04-09;47833.23545833
N;Norte;2024-04-10;7529.79591667
NE;Nordeste;2024-04-10;13678.21808333
S;Sul;2024-04-10;15459.33091667
SE;Sudeste/Centro-Oeste;2024-04-10;47820.40470833
N;Norte;2024-04-11;7766.55004167
NE;Nordeste;2024-04-11;13646.04995833
S;Sul;2024-04-11;14839.73175000
SE;Sudeste/Centro-Oeste;2024-04-11;47922.78679167
N;Norte;2024-04-12;7558.72162500
NE;Nordeste;2024-04-12;13450.19808333
S;Sul;2024-04-12;14287.93662500
SE;Sudeste/Centro-Oeste;2024-04-12;47291.29641667
N;Norte;2024-04-13;7129.31929167
NE;Nordeste;2024-04-13;12657.39162500
S;Sul;2024-04-13;12384.29758333
SE;Sudeste/Centro-Oeste;2024-04-13;43641.44370833
N;Norte;2024-04-14;6735.49654167
NE;Nordeste;2024-04-14;11816.28741667
S;Sul;2024-04-14;10718.40070833
SE;Sudeste/Centro-Oeste;2024-04-14;40164.14075000
N;Norte;2024-04-15;7487.71825000
NE;Nordeste;2024-04-15;13121.61962500
S;Sul;2024-04-15;13578.15429167
SE;Sudeste/Centro-Oeste;2024-04-15;46433.76812500
N;Norte;2024-04-16;7728.05095833
NE;Nordeste;2024-04-16;13235.73912500
S;Sul;2024-04-16;13915.90145833
SE;Sudeste/Centro-Oeste;2024-04-16;48347.28770833
N;Norte;2024-04-17;7712.05504167
NE;Nordeste;2024-04-17;12943.25904167
S;Sul;2024-04-17;12748.35895833
SE;Sudeste/Centro-Oeste;2024-04-17;48400.24283333
N;Norte;2024-04-18;7601.71912500
NE;Nordeste;2024-04-18;13325.50562500
S;Sul;2024-04-18;12392.10016667
SE;Sudeste/Centro-Oeste;2024-04-18;45666.79429167
N;Norte;2024-04-19;7589.37600000
NE;Nordeste;2024-04-19;13262.08000000
S;Sul;2024-04-19;12529.26962500
SE;Sudeste/Centro-Oeste;2024-04-19;44103.62954167
N;Norte;2024-04-20;7157.09854167
NE;Nordeste;2024-04-20;12353.52412500
S;Sul;2024-04-20;10914.51550000
SE;Sudeste/Centro-Oeste;2024-04-20;41003.35237500
N;Norte;2024-04-21;6828.01995833
NE;Nordeste;2024-04-21;11244.16591667
S;Sul;2024-04-21;9745.52154167
SE;Sudeste/Centro-Oeste;2024-04-21;37605.53691667
N;Norte;2024-04-22;7444.56075000
NE;Nordeste;2024-04-22;12824.25591667
S;Sul;2024-04-22;13245.70316667
SE;Sudeste/Centro-Oeste;2024-04-22;44442.56195833
N;Norte;2024-04-23;7636.30750000
NE;Nordeste;2024-04-23;13143.25258333
S;Sul;2024-04-23;14037.66029167
SE;Sudeste/Centro-Oeste;2024-04-23;46084.46304167
N;Norte;2024-04-24;7541.04841667
NE;Nordeste;2024-04-24;13136.10808333
S;Sul;2024-04-24;13943.70245833
SE;Sudeste/Centro-Oeste;2024-04-24;47642.30433333
N;Norte;2024-04-25;7491.66050000
NE;Nordeste;2024-04-25;13425.27625000
S;Sul;2024-04-25;13476.41200000
SE;Sudeste/Centro-Oeste;2024-04-25;47760.75562500
N;Norte;2024-04-26;7483.00341667
NE;Nordeste;2024-04-26;13387.48225000
S;Sul;2024-04-26;13629.22816667
SE;Sudeste/Centro-Oeste;2024-04-26;47474.15166667
N;Norte;2024-04-27;7357.75179167
NE;Nordeste;2024-04-27;12530.37012500
S;Sul;2024-04-27;12897.05587500
SE;Sudeste/Centro-Oeste;2024-04-27;44594.26183333
N;Norte;2024-04-28;7088.26954167
NE;Nordeste;2024-04-28;11902.18708333
S;Sul;2024-04-28;11225.60362500
SE;Sudeste/Centro-Oeste;2024-04-28;41778.45337500
N;Norte;2024-04-29;7794.03579167
NE;Nordeste;2024-04-29;13094.10129167
S;Sul;2024-04-29;13775.98662500
SE;Sudeste/Centro-Oeste;2024-04-29;48446.94170833
N;Norte;2024-04-30;7717.67479167
NE;Nordeste;2024-04-30;13099.04425000
S;Sul;2024-04-30;14363.17166667
SE;Sudeste/Centro-Oeste;2024-04-30;49093.46525000
N;Norte;2024-05-01;7238.34862500
NE;Nordeste;2024-05-01;11934.04720833
S;Sul;2024-05-01;12353.76258333
SE;Sudeste/Centro-Oeste;2024-05-01;44425.07683333
N;Norte;2024-05-02;7747.38833333
NE;Nordeste;2024-05-02;13241.72441667
S;Sul;2024-05-02;14112.08933333
SE;Sudeste/Centro-Oeste;2024-05-02;49160.47837500
N;Norte;2024-05-03;7852.88966667
NE;Nordeste;2024-05-03;13295.83758333
S;Sul;2024-05-03;13161.94358333
SE;Sudeste/Centro-Oeste;2024-05-03;48923.49516667
N;Norte;2024-05-04;7490.11079167
NE;Nordeste;2024-05-04;12756.57616667
S;Sul;2024-05-04;11496.40112500
SE;Sudeste/Centro-Oeste;2024-05-04;44453.60079167
N;Norte;2024-05-05;7251.49045833
NE;Nordeste;2024-05-05;12002.22254167
S;Sul;2024-05-05;10317.72812500
SE;Sudeste/Centro-Oeste;2024-05-05;41052.70595833
N;Norte;2024-05-06;7784.97779167
NE;Nordeste;2024-05-06;12966.15912500
S;Sul;2024-05-06;13463.72620833
SE;Sudeste/Centro-Oeste;2024-05-06;47137.44337500
N;Norte;2024-05-07;7758.35208333
NE;Nordeste;2024-05-07;13241.80316667
S;Sul;2024-05-07;14205.02758333
SE;Sudeste/Centro-Oeste;2024-05-07;48450.35158333
N;Norte;2024-05-08;7910.43987500
NE;Nordeste;2024-05-08;13265.33133333
S;Sul;2024-05-08;14526.56370833
SE;Sudeste/Centro-Oeste;2024-05-08;48651.04916667
N;Norte;2024-05-09;8016.07054167
NE;Nordeste;2024-05-09;13302.44762500
S;Sul;2024-05-09;13522.15054167
SE;Sudeste/Centro-Oeste;2024-05-09;48993.31866667
N;Norte;2024-05-10;7926.97825000
NE;Nordeste;2024-05-10;13288.90925000
S;Sul;2024-05-10;13271.20516667
SE;Sudeste/Centro-Oeste;2024-05-10;48304.05025000
N;Norte;2024-05-11;7555.08979167
NE;Nordeste;2024-05-11;12616.14066667
S;Sul;2024-05-11;11826.08300000
SE;Sudeste/Centro-Oeste;2024-05-11;44306.18304167
N;Norte;2024-05-12;7131.93587500
NE;Nordeste;2024-05-12;11731.99783333
S;Sul;2024-05-12;10403.83887500
SE;Sudeste/Centro-Oeste;2024-05-12;40292.32462500
N;Norte;2024-05-13;7878.15745833
NE;Nordeste;2024-05-13;13288.90579167
S;Sul;2024-05-13;13100.77862500
SE;Sudeste/Centro-Oeste;2024-05-13;47492.85866667
N;Norte;2024-05-14;7957.18545833
NE;Nordeste;2024-05-14;13760.86987500
S;Sul;2024-05-14;12760.28029167
SE;Sudeste/Centro-Oeste;2024-05-14;47012.71033333
N;Norte;2024-05-15;7885.72270833
NE;Nordeste;2024-05-15;13636.24104167
S;Sul;2024-05-15;12822.93291667
SE;Sudeste/Centro-Oeste;2024-05-15;45073.32345833
N;Norte;2024-05-16;7902.04204167
NE;Nordeste;2024-05-16;13366.27858333
S;Sul;2024-05-16;13099.84058333
SE;Sudeste/Centro-Oeste;2024-05-16;45441.76808333
N;Norte;2024-05-17;7737.68662500
NE;Nordeste;2024-05-17;13078.76608333
S;Sul;2024-05-17;13249.06433333
SE;Sudeste/Centro-Oeste;2024-05-17;46487.96816667
N;Norte;2024-05-18;7444.50454167
NE;Nordeste;2024-05-18;12448.40454167
S;Sul;2024-05-18;11726.97975000
SE;Sudeste/Centro-Oeste;2024-05-18;43002.31533333
N;Norte;2024-05-19;7051.29420833
NE;Nordeste;2024-05-19;11844.42333333
S;Sul;2024-05-19;10210.53858333
SE;Sudeste/Centro-Oeste;2024-05-19;39104.47691667
N;Norte;2024-05-20;7697.52383333
NE;Nordeste;2024-05-20;12742.27145833
S;Sul;2024-05-20;12560.04779167
SE;Sudeste/Centro-Oeste;2024-05-20;44771.78500000
N;Norte;2024-05-21;7866.62150000
NE;Nordeste;2024-05-21;13018.15725000
S;Sul;2024-05-21;12796.40883333
SE;Sudeste/Centro-Oeste;2024-05-21;44943.40575000
N;Norte;2024-05-22;8016.89000000
NE;Nordeste;2024-05-22;13051.52341667
S;Sul;2024-05-22;13165.41258333
SE;Sudeste/Centro-Oeste;2024-05-22;45435.92833333
N;Norte;2024-05-23;8084.56741667
NE;Nordeste;2024-05-23;12925.70412500
S;Sul;2024-05-23;13634.26483333
SE;Sudeste/Centro-Oeste;2024-05-23;45696.24112500
N;Norte;2024-05-24;8110.81645833
NE;Nordeste;2024-05-24;12732.89654167
S;Sul;2024-05-24;13133.03845833
SE;Sudeste/Centro-Oeste;2024-05-24;45456.67779167
N;Norte;2024-05-25;7675.20612500
