id_subsistema;nom_subsistema;din_instante;val_cargaenergiamwmed
N;Norte;2023-05-13;7174.64275000
NE;Nordeste;2023-05-13;12258.73158333
S;Sul;2023-05-13;10405.70020833
SE;Sudeste/Centro-Oeste;2023-05-13;37528.46020833
N;Norte;2023-05-14;6763.71795833
NE;Nordeste;2023-05-14;11155.40487500
S;Sul;2023-05-14;8859.58454167
SE;Sudeste/Centro-Oeste;2023-05-14;33660.52925000
N;Norte;2023-05-15;7384.54529167
NE;Nordeste;2023-05-15;12327.70179167
S;Sul;2023-05-15;11899.74099925
SE;Sudeste/Centro-Oeste;2023-05-15;39533.88541667
N;Norte;2023-05-16;7339.45833333
NE;Nordeste;2023-05-16;12458.11079167
S;Sul;2023-05-16;12517.42041667
SE;Sudeste/Centro-Oeste;2023-05-16;40417.14420833
N;Norte;2023-05-17;7228.99379167
NE;Nordeste;2023-05-17;12481.12254167
S;Sul;2023-05-17;12523.27062500
SE;Sudeste/Centro-Oeste;2023-05-17;40414.37779167
N;Norte;2023-05-18;7113.68400000
NE;Nordeste;2023-05-18;12394.18383333
S;Sul;2023-05-18;12864.39304167
SE;Sudeste/Centro-Oeste;2023-05-18;40374.18870833
N;Norte;2023-05-19;7204.13320833
NE;Nordeste;2023-05-19;12166.68783333
S;Sul;2023-05-19;12894.60883091
SE;Sudeste/Centro-Oeste;2023-05-19;40204.03141667
N;Norte;2023-05-20;7053.01775000
NE;Nordeste;2023-05-20;11437.31654167
S;Sul;2023-05-20;11326.97604233
SE;Sudeste/Centro-Oeste;2023-05-20;37304.75495833
N;Norte;2023-05-21;6993.08433333
NE;Nordeste;2023-05-21;10459.40791667
S;Sul;2023-05-21;9937.48691609
SE;Sudeste/Centro-Oeste;2023-05-21;33979.56904167
N;Norte;2023-05-22;7359.95870833
NE;Nordeste;2023-05-22;11946.34425000
S;Sul;2023-05-22;12838.31287307
SE;Sudeste/Centro-Oeste;2023-05-22;39634.42583333
N;Norte;2023-05-23;7414.59279167
NE;Nordeste;2023-05-23;12084.58716667
S;Sul;2023-05-23;13268.81212555
SE;Sudeste/Centro-Oeste;2023-05-23;40695.22658333
N;Norte;2023-05-24;7319.36941667
NE;Nordeste;2023-05-24;11947.40487500
S;Sul;2023-05-24;13243.26949995
SE;Sudeste/Centro-Oeste;2023-05-24;41048.84187500
N;Norte;2023-05-25;7393.78879167
NE;Nordeste;2023-05-25;11852.21237500
S;Sul;2023-05-25;13440.77233258
SE;Sudeste/Centro-Oeste;2023-05-25;41508.55562500
N;Norte;2023-05-26;7445.70775000
